date,region,stat,hosp_beds,doctors,abortion,clinics_capacity,nursing_staff
2005-01-01,Российская Федерация,"Всего, тыс.",1575.4,690.3,43,3637.9,1529.8
2005-01-01,Центральный  федеральный округ,"Всего, тыс.",428.2,193.9,34,1024.9,389.4
2005-01-01,Белгородская область,"Всего, тыс.",16.9,6.0,31,33.9,17.8
2005-01-01,Брянская область,"Всего, тыс.",16.9,4.8,47,29.8,15.1
2005-01-01,Владимирская область,"Всего, тыс.",15.5,5.0,46,44.6,15.1
2005-01-01,Воронежская область,"Всего, тыс.",25.3,12.5,48,49.2,27.8
2005-01-01,Ивановская область,"Всего, тыс.",13.9,5.6,40,22.9,14.9
2005-01-01,Калужская область,"Всего, тыс.",11.8,4.0,42,25.9,10.5
2005-01-01,Костромская область,"Всего, тыс.",11.1,2.6,49,15.0,8.6
2005-01-01,Курская область,"Всего, тыс.",13.4,5.9,42,26.7,13.6
2005-01-01,Липецкая область,"Всего, тыс.",15.8,4.8,42,36.1,15.1
2005-01-01,Московская область,"Всего, тыс.",75.0,23.5,33,175.8,56.1
2005-01-01,Орловская область,"Всего, тыс.",9.8,3.1,45,18.9,9.5
2005-01-01,Рязанская область,"Всего, тыс.",14.1,6.3,46,27.2,14.0
2005-01-01,Смоленская область,"Всего, тыс.",12.9,6.1,42,25.7,11.4
2005-01-01,Тамбовская область,"Всего, тыс.",13.9,3.8,41,27.6,12.5
2005-01-01,Тверская область,"Всего, тыс.",17.7,7.3,42,28.6,15.1
2005-01-01,Тульская область,"Всего, тыс.",22.4,5.5,40,37.0,18.5
2005-01-01,Ярославская область,"Всего, тыс.",17.2,7.6,54,33.7,14.5
2005-01-01,г. Москва,"Всего, тыс.",104.8,79.4,17,366.2,99.2
2005-01-01,Северо-Западный  федеральный округ,"Всего, тыс.",148.1,74.5,44,402.7,151.5
2005-01-01,Республика Карелия,"Всего, тыс.",8.2,3.4,56,16.4,8.9
2005-01-01,Республика Коми,"Всего, тыс.",11.1,4.3,52,33.1,13.4
2005-01-01,Архангельская область,"Всего, тыс.",15.7,6.8,60,43.3,18.1
2005-01-01,Ненецкий автономный округ,"Всего, тыс.",0.5,0.2,60,0.9,0.4
2005-01-01,Архангельская область  без автономного округа,"Всего, тыс.",15.2,6.7,60,42.5,17.7
2005-01-01,Вологодская область,"Всего, тыс.",14.4,4.4,79,34.2,14.8
2005-01-01,Калининградская область,"Всего, тыс.",9.8,3.3,46,20.3,7.8
2005-01-01,Ленинградская область,"Всего, тыс.",15.0,5.2,42,41.4,12.4
2005-01-01,Мурманская область,"Всего, тыс.",9.7,4.2,39,22.4,11.7
2005-01-01,Новгородская область,"Всего, тыс.",8.5,2.6,48,19.4,7.3
2005-01-01,Псковская область,"Всего, тыс.",9.6,2.5,55,17.4,8.3
2005-01-01,г. Санкт-Петербург,"Всего, тыс.",46.0,37.7,28,154.7,48.9
2005-01-01,Южный  федеральный округ,"Всего, тыс.",144.8,60.3,39,314.7,132.8
2005-01-01,Республика Адыгея,"Всего, тыс.",4.9,1.7,33,10.6,4.7
2005-01-01,Республика Калмыкия,"Всего, тыс.",3.9,1.4,37,7.5,4.0
2005-01-01,Краснодарский край,"Всего, тыс.",49.2,21.7,40,107.8,47.3
2005-01-01,Астраханская область,"Всего, тыс.",11.7,6.6,42,29.1,11.8
2005-01-01,Волгоградская область,"Всего, тыс.",31.5,12.7,49,63.0,26.7
2005-01-01,Ростовская область,"Всего, тыс.",43.6,16.2,31,96.7,38.3
2005-01-01,Северо-Кавказский федеральный округ,"Всего, тыс.",64.8,33.5,25,127.6,70.5
2005-01-01,Республика Дагестан,"Всего, тыс.",18.0,10.1,16,30.5,21.3
2005-01-01,Республика Ингушетия ,"Всего, тыс.",1.9,1.1,8,5.7,2.7
2005-01-01,Кабардино-Балкарская Республика,"Всего, тыс.",9.0,3.8,26,15.7,9.6
2005-01-01,Карачаево-Черкесская Республика,"Всего, тыс.",4.4,1.5,20,8.5,4.9
2005-01-01,Республика Северная  Осетия – Алания,"Всего, тыс.",7.2,4.7,27,18.4,7.1
