date,lifespan_sex,lifespan_val,region
2005-01-01,Все население,65.37,Российская Федерация
2005-01-01,Все население,66.5,Центральный  федеральный округ
2005-01-01,Все население,68.43,Белгородская область
2005-01-01,Все население,63.4,Брянская область
2005-01-01,Все население,63.51,Владимирская область
2005-01-01,Все население,66.5,Воронежская область
2005-01-01,Все население,62.17,Ивановская область
2005-01-01,Все население,64.38,Калужская область
2005-01-01,Все население,62.59,Костромская область
2005-01-01,Все население,65.01,Курская область
2005-01-01,Все население,66.16,Липецкая область
2005-01-01,Все население,66.03,Московская область
2005-01-01,Все население,64.97,Орловская область
2005-01-01,Все население,64.11,Рязанская область
2005-01-01,Все население,62.24,Смоленская область
2005-01-01,Все население,65.61,Тамбовская область
2005-01-01,Все население,61.55,Тверская область
2005-01-01,Все население,62.97,Тульская область
2005-01-01,Все население,63.93,Ярославская область
2005-01-01,Все население,71.59,г. Москва
2005-01-01,Все население,64.17,Северо-Западный  федеральный округ
2005-01-01,Все население,61.84,Республика Карелия
2005-01-01,Все население,62.12,Республика Коми
2005-01-01,Все население,62.98,Архангельская область
2005-01-01,Все население,62.97,Ненецкий автономный округ
2005-01-01,Все население,62.97,Архангельская область  без автономного округа
2005-01-01,Все население,63.18,Вологодская область
2005-01-01,Все население,61.48,Калининградская область
2005-01-01,Все население,62.43,Ленинградская область
2005-01-01,Все население,63.83,Мурманская область
2005-01-01,Все население,61.76,Новгородская область
2005-01-01,Все население,60.2,Псковская область
2005-01-01,Все население,68.03,г. Санкт-Петербург
2005-01-01,Все население,67.14,Южный  федеральный округ
2005-01-01,Все население,68.07,Республика Адыгея
2005-01-01,Все население,67.24,Республика Калмыкия
2005-01-01,Все население,67.55,Краснодарский край
2005-01-01,Все население,65.36,Астраханская область
2005-01-01,Все население,67.02,Волгоградская область
2005-01-01,Все население,66.99,Ростовская область
2005-01-01,Все население,69.93,Северо-Кавказский  федеральный округ
2005-01-01,Все население,73.13,Республика Дагестан
2005-01-01,Все население,73.45,Республика Ингушетия 
