Raion;Obekt;Sdacha;Etajnosty;Tip;Lest;Obekt;Etaj;S_obshch;S_zhil;S_kukh;S_Komnaty;Otdelka;S\u;Balk;TCena;za_m2;Baz_tcena;Prodavetc;Obnovleno,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;9;25.97;11.5;5.05;11.5;P/Kl;S;-;4954013;190759;5504459;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;6;26.62;12.2;5;12.2;P/Kl;S;-;4925377;185025;5472641;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;7;26.62;12.2;5;12.2;P/Kl;S;-;4925377;185025;5472641;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;8;26.62;12.2;5;12.2;P/Kl;S;-;4925377;185025;5472641;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;9;26.62;12.2;5;12.2;P/Kl;S;-;5062482;190176;5624980;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;4;33;19.45;5.03;19.45;P/Kl;S;-;4874500;147712;5416111;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;5;33;19.45;5.03;19.45;P/Kl;S;-;4874500;147712;5416111;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;6;33;19.45;5.03;19.45;P/Kl;S;-;5032104;152488;5591227;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;7;33;19.45;5.03;19.45;P/Kl;S;-;5032104;152488;5591227;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;8;33;19.45;5.03;19.45;P/Kl;S;-;5032104;152488;5591227;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;9;33;19.45;5.03;19.45;P/Kl;S;-;5198980;157545;5776645;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;6;35.73;21.6;5.06;21.6;P/Kl;S;-;5252751;147012;5836390;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;7;35.73;21.6;5.06;21.6;P/Kl;S;-;5252751;147012;5836390;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;8;35.73;21.6;5.06;21.6;P/Kl;S;-;5252751;147012;5836390;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;SA;9;35.73;21.6;5.06;21.6;P/Kl;S;-;5430086;151976;6033429;Evrostroi;04.06.2019,,,
